0.0,0.0,14,13,11,1,18
0.4,0.0,2,24,25,17,2
0.4,0.3,13,15,10,27,3
0.6,0.3,12,18,19,33,4
0.6,0.0,19,17,21,5,38
1.0,0.0,20,25,24,6,40
1.0,0.2,29,27,3,39,7
0.8,0.2,14,15,13,30,8
0.8,0.5,12,15,16,9,23
0.2,0.5,17,19,18,10,20
0.2,0.2,39,41,40,13,11
0.0,0.2,18,1,17,0,14
0.2,0.0,41,7,37,13,10
0.1,0.2,36,32,3,14,11
0.0,0.1,31,28,29,12,16
0.15000000000000002,0.1,14,0,16,16,0
0.1,0.0,21,10,19,18,12
0.4,0.15,20,24,9,20,9
0.30000000000000004,0.0,10,15,19,17,1
0.25000000000000006,0.0875,15,12,19,22,28
0.2,0.35,17,2,21,23,22
0.3005859375,0.17734375000000008,14,16,15,27,2
0.5,0.5,21,25,10,28,8
0.35,0.5,26,24,2,30,7
0.315,0.38499999999999995,27,29,26,33,3
0.28325540334393406,0.28287510329850235,23,24,26,34,4
0.42666666666666664,0.4116666666666666,9,24,23,38,34
0.5,0.3,10,25,20,39,6
0.65,0.5,2,25,21,40,5
0.55,0.4,3,32,31,x,x
0.8,0.35,23,26,22,x,x
0.7250000000000001,0.425,31,29,3,x,x
0.7125,0.27499999999999997,26,2,27,x,x
0.6,0.15,28,22,29,x,x
0.8,0.0,28,31,8,x,x
0.7,0.075,29,22,26,x,x
0.6972947761194029,0.1755597014925373,30,8,31,x,x
0.796875,0.10000000000000002,32,30,31,x,x
0.9,0.0,33,4,35,x,x
0.9,0.2,7,30,32,x,x
1.0,0.125,4,34,35,x,x
0.8969223484848485,0.1,3,33,36,x,x
x,x,32,36,7,x,x
x,x,37,35,34,x,x
x,x,33,35,36,x,x
x,x,36,35,37,x,x
x,x,39,40,6,x,x
x,x,36,37,7,x,x
x,x,34,41,37,x,x
x,x,34,38,41,x,x
x,x,39,7,41,x,x
x,x,5,40,41,x,x
x,x,41,38,5,x,x
